Antibody,Treatment,Animal,Compartment,Mean_Density,SD_Density,N_profiles,Total_particles,Total_Area
GABA,Control,GA1,GABA_terminals,191.6066145383464,81.00667222899966,25,755.0,4006790.37
GABA,Control,GA1,GLUT_terminals,5.4450077881158,5.594523960979326,27,31.0,5379305.470000001
GABA,Control,GA1,Microglia,22.114817712550007,14.310991089854861,41,213.0,11152703.1
GABA,Control,GA1,Spine,8.079472976250548,11.27990522418791,22,19.0,2099504.88
GABA,Control,GA2,GABA_terminals,236.37737982675176,65.09952207340748,21,1015.0,4327375.635
GABA,Control,GA2,GLUT_terminals,4.301580737764445,6.739730084080439,25,18.0,3018787.86
GABA,Control,GA2,Microglia,23.147274538736866,17.073140874834582,34,440.0,21309003.87
GABA,Control,GA2,Spine,8.84858350542345,8.181261945273217,24,20.0,2258085.06
GABA,Control,GA3,GABA_terminals,288.55448237631225,105.88990096778726,24,1183.0,3817659.505
GABA,Control,GA3,GLUT_terminals,6.83330317302227,8.801795612617278,25,28.0,3596887.745
GABA,Control,GA3,Microglia,25.970409832957397,17.98231861527124,46,375.0,16417995.11
GABA,Control,GA3,Spine,11.081279542464728,14.660041444374276,24,25.0,2061620.99
GABA,Control,GA4,GABA_terminals,317.65528835236637,100.1683996972014,25,1204.0,3700872.725
GABA,Control,GA4,GLUT_terminals,8.62930342135496,12.411339047562041,41,46.0,5718043.155
GABA,Control,GA4,Microglia,22.956974051769542,12.925288137300651,19,97.0,4266623.955
GABA,Control,GA4,Spine,12.195499854024249,13.635988125253974,45,55.0,4317969.095
GABA,LPS,LPS1,GABA_terminals,144.31167902258912,34.51300551871246,23,638.0,4728943.78
GABA,LPS,LPS1,GLUT_terminals,4.148249916361505,4.320382225966492,19,16.0,3360283.74
GABA,LPS,LPS1,Microglia,11.79425438198529,7.7011754012009295,29,140.0,13702843.44
GABA,LPS,LPS1,Spine,9.479345867860014,9.202896155322184,24,28.0,2689133.04
GABA,LPS,LPS2,GABA_terminals,239.95675962647636,68.84479711574706,22,864.0,3813644.12
GABA,LPS,LPS2,GLUT_terminals,5.068517139408566,6.383962034680009,22,13.0,2746888.1550000003
GABA,LPS,LPS2,Microglia,8.424080095217732,7.995190491201341,23,48.0,5410092.1049999995
GABA,LPS,LPS2,Spine,8.641787479019301,15.791076534801388,22,11.0,1632868.38
GLUT,Control,GA1,GABA_terminals,30.527539031110237,13.425647717595638,15,107.0,3561821.1121000005
GLUT,Control,GA1,GLUT_terminals,77.75564449875516,27.02974601986788,23,300.0,4312168.26525
GLUT,Control,GA1,Microglia,31.666512483999256,13.181504074133366,32,273.0,9001405.9503
GLUT,Control,GA1,Spine,23.596392093835764,12.961428919655553,23,60.0,2682985.84515
GLUT,Control,GA2,GABA_terminals,47.1227630451931,22.52418464728125,24,160.0,3177433.985
GLUT,Control,GA2,GLUT_terminals,100.24255203312086,31.425310778830113,22,355.0,3784955.02
GLUT,Control,GA2,Microglia,44.410412492526426,16.787183645907085,37,468.0,10220617.110000001
GLUT,Control,GA2,Spine,33.74388855017042,18.468062431199673,29,108.0,3299620.995
GLUT,Control,GA3,GABA_terminals,18.936120655928683,10.89956552399616,17,62.0,3085980.975
GLUT,Control,GA3,GLUT_terminals,51.99501569265879,25.320248187628447,22,161.0,3015522.6750000003
GLUT,Control,GA3,Microglia,31.82391428320998,16.333193771525842,31,315.0,11016597.46
GLUT,Control,GA3,Spine,14.496222662248304,14.891055484339473,20,23.0,1974999.51
GLUT,Control,GA4,GABA_terminals,13.699918497139528,6.681228525379944,17,31.0,2532447.72
GLUT,Control,GA4,GLUT_terminals,47.10863849999398,22.849465624084477,21,140.0,3230656.4400000004
GLUT,Control,GA4,Microglia,19.616204236835294,10.331150408072071,26,323.0,15530210.245000001
GLUT,Control,GA4,Spine,11.46726027013613,7.070491765744012,23,43.0,3648917.7450000006
GLUT,LPS,LPS1,GABA_terminals,23.143580773190067,14.233228465068583,18,69.0,3007534.86
GLUT,LPS,LPS1,GLUT_terminals,69.68913109080142,36.679584451605045,29,324.0,5320304.055000001
GLUT,LPS,LPS1,Microglia,41.143940312348725,17.77130107286321,20,287.0,7452730.010000001
GLUT,LPS,LPS1,Spine,13.247906692945332,9.460315367090221,23,50.0,3807405.36
GLUT,LPS,LPS2,GABA_terminals,22.29315658833778,11.829504332147241,19,64.0,2969463.4200000004
GLUT,LPS,LPS2,GLUT_terminals,45.96190711097684,12.624053529795741,22,176.0,3787531.1100000003
GLUT,LPS,LPS2,Microglia,32.160463795096874,10.02691509009748,20,183.0,5710338.48
GLUT,LPS,LPS2,Spine,12.248549726834485,10.323282436290151,24,32.0,2547552.15
