"Antibody","Treatment","Compartment","N_profiles","Mean_density","SD_density","SEM_density","Median_density","Min_density","Max_density","Total_particles"
"GABA","Control","GABA_terminals",95,259.166106585906,101.69913667053,10.4341112649713,252.995984997338,0,598.330959077187,NA
"GABA","Control","GLUT_terminals",118,6.60329447732498,9.36587740573725,0.862198901406911,4.272788902751,0,59.0339855703229,NA
"GABA","Control","Microglia",140,23.746687284509,16.0329338185641,1.35503022325402,20.9923218089331,0,83.463497749314,NA
"GABA","Control","Spine",115,10.477066191808,12.4490668385788,1.16088146850798,8.1584438323164,0,55.5360793610574,NA
"GABA","LPS","GABA_terminals",45,191.071496206712,72.0796502472033,10.7449998498104,178.400037107208,64.1990951401889,355.74076842923,NA
"GABA","LPS","GLUT_terminals",41,4.64205184092334,5.47830084895897,0.855566852339467,3.74225138783264,0,20.3721274663643,NA
"GABA","LPS","Microglia",52,10.3036003705304,7.93678897911758,1.10063460102869,10.0011842956381,0,30.8756815690923,NA
"GABA","LPS","Spine",46,9.07877446450141,12.642536624057,1.86404033061089,6.63839471733105,0,67.9573465714244,NA
"GLUT","Control","GABA_terminals",73,29.365370741828,20.5535687092962,2.40561326071052,21.6580594530336,0,88.9193717668546,NA
"GLUT","Control","GLUT_terminals",88,69.6237241129363,33.9617757180551,3.62033745589896,67.5760578480909,9.96234532338122,176.842998785678,NA
"GLUT","Control","Microglia",126,32.9609231321324,16.9179530507346,1.50717104765181,30.3124493628051,0,80.4764581881544,NA
"GLUT","Control","Spine",95,21.8416971112764,16.7244448961643,1.71589184141056,17.2445755032183,0,67.2965322994193,NA
"GLUT","LPS","GABA_terminals",37,22.7068764620497,12.877085044651,2.11697974078559,20.5997183647705,0,46.3813610007428,NA
"GLUT","LPS","GLUT_terminals",51,59.4538580014653,31.0033736256715,4.34134066257071,52.6835138007098,13.6373898499498,192.510198227751,NA
"GLUT","LPS","Microglia",40,36.6522020537228,14.9510600741058,2.363970163409,37.4107523182423,0,77.4162653232364,NA
"GLUT","LPS","Spine",47,12.7375967528036,9.81546000805124,1.43173199062232,12.8871468043839,0,36.9192339148205,NA
