Antibody,Treatment,Animal,Mean_Density,SD_Density,N_Profiles
GABA,Control,GA1,22.114817712550007,14.310991089854861,41
GABA,Control,GA2,23.147274538736866,17.073140874834582,34
GABA,Control,GA3,25.970409832957397,17.98231861527124,46
GABA,Control,GA4,22.956974051769542,12.925288137300651,19
GABA,LPS,LPS1,11.79425438198529,7.7011754012009295,29
GABA,LPS,LPS2,8.424080095217732,7.995190491201341,23
GLUT,Control,GA1,31.666512483999256,13.181504074133366,32
GLUT,Control,GA2,44.410412492526426,16.787183645907085,37
GLUT,Control,GA3,31.82391428320998,16.333193771525842,31
GLUT,Control,GA4,19.616204236835294,10.331150408072071,26
GLUT,LPS,LPS1,41.143940312348725,17.77130107286321,20
GLUT,LPS,LPS2,32.160463795096874,10.02691509009748,20
